observed_utc	pub_utc	delay_lower_h	delay_upper_h	link
# 2026-08-20 审计：以下三行 INVALID，勿计入分布。它们不是迟到条目，而是同一公告的
# /about-aws/ URL 变体——各自已在 08-13/08-14 以 https://aws.amazon.com/whats-new/... 形式
# 报过，而当时的 _already_covered() 按原始字符串比对故未识别，于是在 08-18 被当成补录、
# 并按 08-14 的旧 pubDate 算出 60-82h 的假延迟。已加 _canon_link() 归一化修掉根因。
# 保留而不删除：这批点正是我当时用来判断「96h 边际是否够」的依据，删掉就看不出结论怎么来的。
# ⚠️ 同批的 custom-no-data-message（66.2/88.3）经复核只出现过一次、单一 URL ＝ 真实点，保留有效。
2026-08-18 07:18	2026-08-14 15:00	66.2	88.3	https://aws.amazon.com/about-aws/whats-new/2025/08/amazon-quick-custom-no-data-message/
# INVALID	2026-08-18 07:18	2026-08-14 21:00	60.2	82.3	https://aws.amazon.com/about-aws/whats-new/2026/08/amazon-quick-approval-policies-sharing/
# INVALID	2026-08-18 07:18	2026-08-14 21:04	60.1	82.2	https://aws.amazon.com/about-aws/whats-new/2026/08/amazon-quick-dlp-purview/
# INVALID	2026-08-18 07:18	2026-08-14 21:07	60.1	82.2	https://aws.amazon.com/about-aws/whats-new/2026/08/amazon-quick-per-user-resource-limits/
2026-08-19 09:04	2026-08-17 15:00	18.6	42.1	https://aws.amazon.com/about-aws/whats-new/2026/08/console-to-code-adds-26-services
2026-08-19 09:04	2026-08-18 04:00	5.6	29.1	https://aws.amazon.com/about-aws/whats-new/2026/08/amazon-s3-metadata-annotations-govcloud-regions
2026-08-19 09:04	2026-08-18 08:00	1.6	25.1	https://aws.amazon.com/about-aws/whats-new/2026/08/nested-virtualization-workspaces/
2026-08-20 09:04	2026-08-18 15:00	18.1	42.1	https://aws.amazon.com/about-aws/whats-new/2026/08/amazon-ec2-high-memory-u7i-aws-europe/
2026-08-20 09:04	2026-08-19 07:51	1.3	25.2	https://aws.amazon.com/about-aws/whats-new/2026/08/amazon-ec2-r8a-asia-pacific-taipei/
2026-08-21 04:53	2026-08-17 14:25	66.9	86.5	https://aws.amazon.com/about-aws/whats-new/2026/08/amazon-location-service/amazon-location-poi-categorization-density-map-styles
2026-08-21 04:53	2026-08-19 18:00	15.3	34.9	https://aws.amazon.com/about-aws/whats-new/2026/08/mediaconnect-router-latency-modes/
2026-08-21 04:53	2026-08-19 18:27	14.8	34.4	https://aws.amazon.com/about-aws/whats-new/2026/08/aws-security-agent/
2026-08-21 04:53	2026-08-19 21:03	12.2	31.8	https://aws.amazon.com/about-aws/whats-new/2026/08/amazon-dynamodb-streams-abac/
2026-08-21 04:53	2026-08-19 21:30	11.8	31.4	https://aws.amazon.com/about-aws/whats-new/2026/08/ec2-create-image-local-snapshot-outpost
2026-08-21 04:53	2026-08-20 00:06	9.2	28.8	https://aws.amazon.com/about-aws/whats-new/2026/08/aws-marketplace/
2026-08-22 09:04	2026-08-20 16:00	17.2	41.1	https://aws.amazon.com/about-aws/whats-new/2026/08/aurora-dsql-cloudwatch-database-insights/
2026-08-22 09:04	2026-08-20 20:00	13.2	37.1	https://aws.amazon.com/about-aws/whats-new/2026/08/amazon-ec2-c8gd-m8gd/
2026-08-22 09:04	2026-08-21 07:00	2.2	26.1	https://aws.amazon.com/about-aws/whats-new/2026/08/amazon-ses-adds-open-click-tracking-override/
2026-08-25 09:04	2026-08-20 20:00	85.1	109.1	https://aws.amazon.com/about-aws/whats-new/2026/08/redshift-concurrencyscaling-for-kds-streams/
2026-08-25 09:04	2026-08-20 20:00	85.1	109.1	https://aws.amazon.com/about-aws/whats-new/2026/08/agentcore-memory-json-payloads
2026-08-25 09:04	2026-08-21 21:11	59.9	83.9	https://aws.amazon.com/about-aws/whats-new/2026/08/aws-announce-neuron-2-32-0
2026-08-25 09:04	2026-08-24 08:41	0.4	24.4	https://aws.amazon.com/about-aws/whats-new/2026/08/amazon-rds-mysql-8411-available/
2026-08-26 09:04	2026-08-24 15:00	18.3	42.1	https://aws.amazon.com/about-aws/whats-new/2026/08/amazon-msk-replicator-OAuth-support
2026-08-26 09:04	2026-08-25 00:00	9.3	33.1	https://aws.amazon.com/about-aws/whats-new/2026/08/amazon-gamelift-servers-enhanced-ddos-protection
2026-08-26 09:04	2026-08-25 02:00	7.3	31.1	https://aws.amazon.com/about-aws/whats-new/2026/08/aws-lambda-full-iam-resource-based-policies/
2026-08-26 09:04	2026-08-25 07:00	2.3	26.1	https://aws.amazon.com/about-aws/whats-new/2026/08/secrets-manager-cisco-netskope/
2026-08-26 09:04	2026-08-25 07:24	1.9	25.7	https://aws.amazon.com/about-aws/whats-new/2026/08/amazon-rds-oracle-july-2026-release-update
2026-08-26 09:04	2026-08-25 07:30	1.8	25.6	https://aws.amazon.com/about-aws/whats-new/2026/08/amazon-rds-supports-latest-cu-microsoft-sql-server/
2026-08-27 09:04	2026-08-24 20:50	36.4	60.2	https://aws.amazon.com/about-aws/whats-new/2026/08/aws-glue-catalog-federation-iceberg-govcloud/
2026-08-27 09:04	2026-08-25 20:00	13.2	37.1	https://aws.amazon.com/about-aws/whats-new/2026/08/amazon-ec2-r8id/
2026-08-27 09:04	2026-08-25 20:00	13.2	37.1	https://aws.amazon.com/about-aws/whats-new/2026/08/amazon-ec2-c8id-m8id-aws-regions/
